Original,Tokenized
"Pa kup ljudi zgrešeno verjame,da je ob poroki nebblo.","Paomega_tskupomega_tsljudiomega_tszgrešenoomega_tsverjameomega_ts,omega_tsdaomega_tsjeomega_tsobomega_tsporokiomega_tsnebomega_tsbloomega_ts.omega_ts"
"@NusaZajc Joj, ste ženske zahtevne!","@NusaZajcomega_tsJojomega_ts,omega_tssteomega_tsženskeomega_tszahtevneomega_ts!omega_ts"
"To mora, pa tega ne sme bit, ...","Toomega_tsmoraomega_ts,omega_tspaomega_tstegaomega_tsneomega_tssmeomega_tsbitomega_ts,omega_ts...omega_ts"
"Pa tako sem se namatral, da sem našel eno spodobno slikco.","Paomega_tstakoomega_tssemomega_tsseomega_tsnamatralomega_ts,omega_tsdaomega_tssemomega_tsnašelomega_tsenoomega_tsspodobnoomega_tsslikcoomega_ts.omega_ts"
"Najboljš je pa ugotovit, da so po petem delu Da Vinci's Demons drugač poimenovali torrente in jih mam zdej še pet na lagerju ;)","Najboljšomega_tsjeomega_tspaomega_tsugotovitomega_ts,omega_tsdaomega_tssoomega_tspoomega_tspetemomega_tsdeluomega_tsDaomega_tsVinci'somega_tsDemonsomega_tsdrugačomega_tspoimenovaliomega_tstorrenteomega_tsinomega_tsjihomega_tsmamomega_tszdejomega_tsšeomega_tspetomega_tsnaomega_tslagerjuomega_ts;)omega_ts"
"Mogoče pa se za 25.000 evrov tak kvalitetno naspiš, da ti potem par mesecev ni treba spati.","Mogočeomega_tspaomega_tsseomega_tszaomega_ts25.000omega_tsevrovomega_tstakomega_tskvalitetnoomega_tsnaspišomega_ts,omega_tsdaomega_tstiomega_tspotemomega_tsparomega_tsmesecevomega_tsniomega_tstrebaomega_tsspatiomega_ts.omega_ts"
"Mislim, da sm čisto napačen človek za to nalogo.","Mislimomega_ts,omega_tsdaomega_tssmomega_tsčistoomega_tsnapačenomega_tsčlovekomega_tszaomega_tstoomega_tsnalogoomega_ts.omega_ts"
"Sm kr vprašal šefa, če prej ves pir v hladilniku spijem oz. če lahk vzamem dopust.","Smomega_tskromega_tsvprašalomega_tsšefaomega_ts,omega_tsčeomega_tsprejomega_tsvesomega_tspiromega_tsvomega_tshladilnikuomega_tsspijemomega_tsoz.omega_tsčeomega_tslahkomega_tsvzamemomega_tsdopustomega_ts.omega_ts"
@tjablonsky @zballe @MihaPenko potrudte se ...,@tjablonskyomega_ts@zballeomega_ts@MihaPenkoomega_tspotrudteomega_tsseomega_ts...omega_ts
h je prevec ...,homega_tsjeomega_tsprevecomega_ts...omega_ts
zlajnan je potrudi se da boste mel koncept in se ga drzte in koncejte v 30 min,zlajnanomega_tsjeomega_tspotrudiomega_tsseomega_tsdaomega_tsbosteomega_tsmelomega_tskonceptomega_tsinomega_tsseomega_tsgaomega_tsdrzteomega_tsinomega_tskoncejteomega_tsvomega_ts30omega_tsminomega_ts
"@SasoSin Vsi žvečilni, razen tistih s ksilitolom, imajo med sestavinami aspartam.","@SasoSinomega_tsVsiomega_tsžvečilniomega_ts,omega_tsrazenomega_tstistihomega_tssomega_tsksilitolomomega_ts,omega_tsimajoomega_tsmedomega_tssestavinamiomega_tsaspartamomega_ts.omega_ts"
"Te s ksilitolom maš pa v DMu, Mullerju, lekarnah ipd.","Teomega_tssomega_tsksilitolomomega_tsmašomega_tspaomega_tsvomega_tsDMuomega_ts,omega_tsMullerjuomega_ts,omega_tslekarnahomega_tsipd.omega_ts"
Kako se reče tangicam po poljsko?,Kakoomega_tsseomega_tsrečeomega_tstangicamomega_tspoomega_tspoljskoomega_ts?omega_ts
"""Vrpca preho smrdca""","""omega_tsVrpcaomega_tsprehoomega_tssmrdcaomega_ts""omega_ts"
In po češko?,Inomega_tspoomega_tsčeškoomega_ts?omega_ts
"""Špagenka poprdenka""","""omega_tsŠpagenkaomega_tspoprdenkaomega_ts""omega_ts"
"tolk, da boste vedeli, če boste sli v soping :)","tolkomega_ts,omega_tsdaomega_tsbosteomega_tsvedeliomega_ts,omega_tsčeomega_tsbosteomega_tssliomega_tsvomega_tssopingomega_ts:)omega_ts"
"@iNinaromsek mela saaansooo, js grem pa kr ze dons :P","@iNinaromsekomega_tsmelaomega_tssaaansoooomega_ts,omega_tsjsomega_tsgremomega_tspaomega_tskromega_tszeomega_tsdonsomega_ts:Pomega_ts"
se prevoz do dol sm dobila..,seomega_tsprevozomega_tsdoomega_tsdolomega_tssmomega_tsdobilaomega_ts..omega_ts
odzabe:D,odzabeomega_ts:Domega_ts
dobis pozdravcke ;),dobisomega_tspozdravckeomega_ts;)omega_ts
"(vm,zleht sm) :O","(omega_tsvmomega_ts,omega_tszlehtomega_tssmomega_ts)omega_ts:Oomega_ts"
@nejcjemec to sam pletes?,@nejcjemecomega_tstoomega_tssamomega_tspletesomega_ts?omega_ts
js bi tut rabil btw.,jsomega_tsbiomega_tstutomega_tsrabilomega_tsbtwomega_ts.omega_ts
"vem pa kako iz pletene narediti kippah, ce kdo rabi nasvet :) @BostjanJerko","vemomega_tspaomega_tskakoomega_tsizomega_tspleteneomega_tsnareditiomega_tskippahomega_ts,omega_tsceomega_tskdoomega_tsrabiomega_tsnasvetomega_ts:)omega_ts@BostjanJerkoomega_ts"
Da se naujozdaj še na Planico spravl!?,Daomega_tsseomega_tsnaujoomega_tszdajomega_tsšeomega_tsnaomega_tsPlanicoomega_tsspravlomega_ts!?omega_ts
"*sponko brez lastnega obraza kritizirati , obtoževati, blatiti druge ljudi je najmanj kar je podlo!","*omega_tssponkoomega_tsbrezomega_tslastnegaomega_tsobrazaomega_tskritiziratiomega_ts,omega_tsobtoževatiomega_ts,omega_tsblatitiomega_tsdrugeomega_tsljudiomega_tsjeomega_tsnajmanjomega_tskaromega_tsjeomega_tspodloomega_ts!omega_ts"
poglej spodaj kak obraz imaš,poglejomega_tsspodajomega_tskakomega_tsobrazomega_tsimašomega_ts
"a mi zna kdo razložit, zakaj hrvati mislijo, da je 6.1. pri nas jebeni praznik?","aomega_tsmiomega_tsznaomega_tskdoomega_tsrazložitomega_ts,omega_tszakajomega_tshrvatiomega_tsmislijoomega_ts,omega_tsdaomega_tsjeomega_ts6.1.omega_tspriomega_tsnasomega_tsjebeniomega_tspraznikomega_ts?omega_ts"
sej spet ni tolk srbov v sloveniji jbt ...,sejomega_tsspetomega_tsniomega_tstolkomega_tssrbovomega_tsvomega_tsslovenijiomega_tsjbtomega_ts...omega_ts
#masonori,#masonoriomega_ts
"@PetraSlanic poznam komb.proja+kneipp+franck za ""belo kavo"".","@PetraSlanicomega_tspoznamomega_tskomb.omega_tsprojaomega_ts+omega_tskneippomega_ts+omega_tsfranckomega_tszaomega_ts""omega_tsbeloomega_tskavoomega_ts""omega_ts.omega_ts"
"sem rad pil, ko sem bil mali:)","semomega_tsradomega_tspilomega_ts,omega_tskoomega_tssemomega_tsbilomega_tsmaliomega_ts:)omega_ts"
"za muckefuck, pa sem slišal 3 dni nazaj :D","zaomega_tsmuckefuckomega_ts,omega_tspaomega_tssemomega_tsslišalomega_ts3omega_tsdniomega_tsnazajomega_ts:Domega_ts"
ce sm prou zracunala ti bo zrastu do 27.4.2013 se za 3 centi,ceomega_tssmomega_tsprouomega_tszracunalaomega_tstiomega_tsboomega_tszrastuomega_tsdoomega_ts27.4.2013omega_tsseomega_tszaomega_ts3omega_tscentiomega_ts
"Alineja ,sem že šel malo vase in prišel do istih zaključkov, ma kaj čem no taki smo","Alinejaomega_ts,omega_tssemomega_tsžeomega_tsšelomega_tsmaloomega_tsvaseomega_tsinomega_tsprišelomega_tsdoomega_tsistihomega_tszaključkovomega_ts,omega_tsmaomega_tskajomega_tsčemomega_tsnoomega_tstakiomega_tssmoomega_ts"
"Zakaj mi še kr naprej pošiljajo linke do facebooka,saj me ni,me ni blo in me ne bo gor in pika.","Zakajomega_tsmiomega_tsšeomega_tskromega_tsnaprejomega_tspošiljajoomega_tslinkeomega_tsdoomega_tsfacebookaomega_ts,omega_tssajomega_tsmeomega_tsniomega_ts,omega_tsmeomega_tsniomega_tsbloomega_tsinomega_tsmeomega_tsneomega_tsboomega_tsgoromega_tsinomega_tspikaomega_ts.omega_ts"
Pač zionisti mi niso ql in .,Pačomega_tszionistiomega_tsmiomega_tsnisoomega_tsqlomega_tsinomega_ts.omega_ts
#facebukva,#facebukvaomega_ts
@lara4850 @TvslV @AllBriefs Kje je ta posnetek?,@lara4850omega_ts@TvslVomega_ts@AllBriefsomega_tsKjeomega_tsjeomega_tstaomega_tsposnetekomega_ts?omega_ts
za v anale :)),zaomega_tsvomega_tsanaleomega_ts:))omega_ts
To morm videt ..,Toomega_tsmormomega_tsvidetomega_ts..omega_ts
želodc je itak že vsega hudega vajen #normalno,želodcomega_tsjeomega_tsitakomega_tsžeomega_tsvsegaomega_tshudegaomega_tsvajenomega_ts#normalnoomega_ts
Takih papku ne rabmo.,Takihomega_tspapkuomega_tsneomega_tsrabmoomega_ts.omega_ts
"Za Slovenijo bi mogu igrat s srcem, ne pa, da ga mormo še prosit.","Zaomega_tsSlovenijoomega_tsbiomega_tsmoguomega_tsigratomega_tssomega_tssrcemomega_ts,omega_tsneomega_tspaomega_ts,omega_tsdaomega_tsgaomega_tsmormoomega_tsšeomega_tsprositomega_ts.omega_ts"
Adijo!,Adijoomega_ts!omega_ts
#kzs #eurobasket 2013 http://t.co/5Wtyxr6yZe,#kzsomega_ts#eurobasketomega_ts2013omega_tshttp://t.co/5Wtyxr6yZeomega_ts
@cikibucka ne podpišem pa če plačaš.....,@cikibuckaomega_tsneomega_tspodpišemomega_tspaomega_tsčeomega_tsplačašomega_ts.....omega_ts
"ko so mene jebali ni blo nobenega nikjer, še za odvetnike ni blo dnarja.","koomega_tssoomega_tsmeneomega_tsjebaliomega_tsniomega_tsbloomega_tsnobenegaomega_tsnikjeromega_ts,omega_tsšeomega_tszaomega_tsodvetnikeomega_tsniomega_tsbloomega_tsdnarjaomega_ts.omega_ts"
zato-jepte se naj splesni,zatoomega_ts-omega_tsjepteomega_tsseomega_tsnajomega_tssplesniomega_ts
@laurajerman drgač je ena k me je prosila da smo skupi na busu tud 14 pa gre s starejšo sestro in ona upa da ne bodo sami mali tam xD,@laurajermanomega_tsdrgačomega_tsjeomega_tsenaomega_tskomega_tsmeomega_tsjeomega_tsprosilaomega_tsdaomega_tssmoomega_tsskupiomega_tsnaomega_tsbusuomega_tstudomega_ts14omega_tspaomega_tsgreomega_tssomega_tsstarejšoomega_tssestroomega_tsinomega_tsonaomega_tsupaomega_tsdaomega_tsneomega_tsbodoomega_tssamiomega_tsmaliomega_tstamomega_tsxDomega_ts
pa tud,paomega_tstudomega_ts
@JiriKocica @krtmen pol so bli pa tko razumni..,@JiriKocicaomega_ts@krtmenomega_tspolomega_tssoomega_tsbliomega_tspaomega_tstkoomega_tsrazumniomega_ts..omega_ts
da so sprejeli vse svoje pogoje v pogajanjih :),daomega_tssoomega_tssprejeliomega_tsvseomega_tssvojeomega_tspogojeomega_tsvomega_tspogajanjihomega_ts:)omega_ts
(čestitke LOL) tok dobr pa še ne,(omega_tsčestitkeomega_tsLOLomega_ts)omega_tstokomega_tsdobromega_tspaomega_tsšeomega_tsneomega_ts
"Ženska draga, pa nisi ti noben krizni štab !","Ženskaomega_tsdragaomega_ts,omega_tspaomega_tsnisiomega_tstiomega_tsnobenomega_tskrizniomega_tsštabomega_ts!omega_ts"
"Nekje se je opekel, zaradi neke sigurnosti želi sedaj nazaj.","Nekjeomega_tsseomega_tsjeomega_tsopekelomega_ts,omega_tszaradiomega_tsnekeomega_tssigurnostiomega_tsželiomega_tssedajomega_tsnazajomega_ts.omega_ts"
"Vsekakor pa z to preteklostjo še ni zaključil, na tebi pa je da sprejmeš odločilne korake za svoje življenje, samo strah naj te ne bo !","Vsekakoromega_tspaomega_tszomega_tstoomega_tspreteklostjoomega_tsšeomega_tsniomega_tszaključilomega_ts,omega_tsnaomega_tstebiomega_tspaomega_tsjeomega_tsdaomega_tssprejmešomega_tsodločilneomega_tskorakeomega_tszaomega_tssvojeomega_tsživljenjeomega_ts,omega_tssamoomega_tsstrahomega_tsnajomega_tsteomega_tsneomega_tsboomega_ts!omega_ts"
Kje bi pa lahko v LJ ali okolici dal odklenit telefon BlackBerry Storm 9500.,Kjeomega_tsbiomega_tspaomega_tslahkoomega_tsvomega_tsLJomega_tsaliomega_tsokoliciomega_tsdalomega_tsodklenitomega_tstelefonomega_tsBlackBerryomega_tsStormomega_ts9500omega_ts.omega_ts
Zaklenjen je na simobil (what else).,Zaklenjenomega_tsjeomega_tsnaomega_tssimobilomega_ts(omega_tswhatomega_tselseomega_ts)omega_ts.omega_ts
Sem poskusal prek net-a pa nisem dobil pravih kod.,Semomega_tsposkusalomega_tsprekomega_tsnet-aomega_tspaomega_tsnisemomega_tsdobilomega_tspravihomega_tskodomega_ts.omega_ts
@badabumbadabum verjetno sta prepričana da si Kučan in da napoveduješ bigbang.,@badabumbadabumomega_tsverjetnoomega_tsstaomega_tsprepričanaomega_tsdaomega_tssiomega_tsKučanomega_tsinomega_tsdaomega_tsnapoveduješomega_tsbigbangomega_ts.omega_ts
The rest is history @prenovitelj @drVinkoGorenak,Theomega_tsrestomega_tsisomega_tshistoryomega_ts@prenoviteljomega_ts@drVinkoGorenakomega_ts
@LouDk Hmmm... skoda.,@LouDkomega_tsHmmmomega_ts...omega_tsskodaomega_ts.omega_ts
"Ce bi ujel takrat, k so se zbiral sredstva bi blo lih super.","Ceomega_tsbiomega_tsujelomega_tstakratomega_ts,omega_tskomega_tssoomega_tsseomega_tszbiralomega_tssredstvaomega_tsbiomega_tsbloomega_tslihomega_tssuperomega_ts.omega_ts"
:|,:|omega_ts
Ja ponavad je poznej vedno drazje.,Jaomega_tsponavadomega_tsjeomega_tspoznejomega_tsvednoomega_tsdrazjeomega_ts.omega_ts
@TeyaEna,@TeyaEnaomega_ts
"@MitjaBlazic @kricac Pa samo za pol tona je bla matrica nižja, pa se ful pozna...","@MitjaBlazicomega_ts@kricacomega_tsPaomega_tssamoomega_tszaomega_tspolomega_tstonaomega_tsjeomega_tsblaomega_tsmatricaomega_tsnižjaomega_ts,omega_tspaomega_tsseomega_tsfulomega_tspoznaomega_ts...omega_ts"
V ned bo tud razguzil.,Vomega_tsnedomega_tsboomega_tstudomega_tsrazguzilomega_ts.omega_ts
Najbolj pa bo nasmejala Mitička!,Najboljomega_tspaomega_tsboomega_tsnasmejalaomega_tsMitičkaomega_ts!omega_ts
hvala za odgovor in lep pozdrav,hvalaomega_tszaomega_tsodgovoromega_tsinomega_tslepomega_tspozdravomega_ts
@FuckedUpAlive Živc nebodtaka Fun!,@FuckedUpAliveomega_tsŽivcomega_tsnebodomega_tstakaomega_tsFunomega_ts!omega_ts
Ja tko ti bom povedu hmm grozn ane.,Jaomega_tstkoomega_tstiomega_tsbomomega_tspoveduomega_tshmmomega_tsgroznomega_tsaneomega_ts.omega_ts
napis sms pa to pa ti napišem neki zlooo fun=),napisomega_tssmsomega_tspaomega_tstoomega_tspaomega_tstiomega_tsnapišemomega_tsnekiomega_tszloooomega_tsfunomega_ts=)omega_ts
haha jaa=),hahaomega_tsjaaomega_ts=)omega_ts
"@alessusnik Kupim, če ga še imaš.","@alessusnikomega_tsKupimomega_ts,omega_tsčeomega_tsgaomega_tsšeomega_tsimašomega_ts.omega_ts"
"Prosim, če mi na DM pošlješ tel. številko, da se dogovoriva za predajo, jaz ti ga ne morem poslati.","Prosimomega_ts,omega_tsčeomega_tsmiomega_tsnaomega_tsDMomega_tspošlješomega_tstel.omega_tsštevilkoomega_ts,omega_tsdaomega_tsseomega_tsdogovorivaomega_tszaomega_tspredajoomega_ts,omega_tsjazomega_tstiomega_tsgaomega_tsneomega_tsmoremomega_tsposlatiomega_ts.omega_ts"
Lp!,Lpomega_ts!omega_ts
@AndrejPoklic Hvala!,@AndrejPoklicomega_tsHvalaomega_ts!omega_ts
"Hehe, tu se je sestanek ze blizal koncu in smo ze vse spili;).","Heheomega_ts,omega_tstuomega_tsseomega_tsjeomega_tssestanekomega_tszeomega_tsblizalomega_tskoncuomega_tsinomega_tssmoomega_tszeomega_tsvseomega_tsspiliomega_ts;)omega_ts.omega_ts"
"Seveda, grozdni sok je najboljsi za brainstorming:).","Sevedaomega_ts,omega_tsgrozdniomega_tssokomega_tsjeomega_tsnajboljsiomega_tszaomega_tsbrainstormingomega_ts:)omega_ts.omega_ts"
@NuckinFutsSlo majo le manj davka kokr pa pr nas :D,@NuckinFutsSloomega_tsmajoomega_tsleomega_tsmanjomega_tsdavkaomega_tskokromega_tspaomega_tspromega_tsnasomega_ts:Domega_ts
drgac pa tudi mene čudi da ni rekel za nič popusta :P,drgacomega_tspaomega_tstudiomega_tsmeneomega_tsčudiomega_tsdaomega_tsniomega_tsrekelomega_tszaomega_tsničomega_tspopustaomega_ts:Pomega_ts
ok tisto so škoti,okomega_tstistoomega_tssoomega_tsškotiomega_ts
"Je vprašala profesorca, če uporablja kdo Maca in je sošolka panično zaprla comp, da ne bi vidla in ne bi rabla odgovrit.","Jeomega_tsvprašalaomega_tsprofesorcaomega_ts,omega_tsčeomega_tsuporabljaomega_tskdoomega_tsMacaomega_tsinomega_tsjeomega_tssošolkaomega_tspaničnoomega_tszaprlaomega_tscompomega_ts,omega_tsdaomega_tsneomega_tsbiomega_tsvidlaomega_tsinomega_tsneomega_tsbiomega_tsrablaomega_tsodgovritomega_ts.omega_ts"
Lol xD,Lolomega_tsxDomega_ts
"Legat, kaj kličeš ministrstva na odgovornost, saj veš, da itak nič ne delajo.","Legatomega_ts,omega_tskajomega_tskličešomega_tsministrstvaomega_tsnaomega_tsodgovornostomega_ts,omega_tssajomega_tsvešomega_ts,omega_tsdaomega_tsitakomega_tsničomega_tsneomega_tsdelajoomega_ts.omega_ts"
"Ukiniti vsa ministrstva, ukiniti davke, bo že zasebni sektor sam poskrbel za boj proti poplavam.","Ukinitiomega_tsvsaomega_tsministrstvaomega_ts,omega_tsukinitiomega_tsdavkeomega_ts,omega_tsboomega_tsžeomega_tszasebniomega_tssektoromega_tssamomega_tsposkrbelomega_tszaomega_tsbojomega_tsprotiomega_tspoplavamomega_ts.omega_ts"
"Kaj ne, da?","Kajomega_tsneomega_ts,omega_tsdaomega_ts?omega_ts"
@smaka21 vrjamm ja :),@smaka21omega_tsvrjammomega_tsjaomega_ts:)omega_ts
"nm pa rece razrednicarka, da je naj do 6ihne budimo, in tko npr smo bli ze enkrt ob 4 zjutri pred Louvrom :D","nmomega_tspaomega_tsreceomega_tsrazrednicarkaomega_ts,omega_tsdaomega_tsjeomega_tsnajomega_tsdoomega_ts6ihomega_tsneomega_tsbudimoomega_ts,omega_tsinomega_tstkoomega_tsnpromega_tssmoomega_tsbliomega_tszeomega_tsenkrtomega_tsobomega_ts4omega_tszjutriomega_tspredomega_tsLouvromomega_ts:Domega_ts"
"@spirulinka9 Aja, brezveze.","@spirulinka9omega_tsAjaomega_ts,omega_tsbrezvezeomega_ts.omega_ts"
"Jst sem danes pil kofein na avtocesti, bolj optimalno.","Jstomega_tssemomega_tsdanesomega_tspilomega_tskofeinomega_tsnaomega_tsavtocestiomega_ts,omega_tsboljomega_tsoptimalnoomega_ts.omega_ts"
Na morju jem samo zajtrk ...,Naomega_tsmorjuomega_tsjemomega_tssamoomega_tszajtrkomega_ts...omega_ts
Tam kofeina ne rabiš.,Tamomega_tskofeinaomega_tsneomega_tsrabišomega_ts.omega_ts
:),:)omega_ts
"@free__JJ ne morš nekomu rečt da je zanič, če on verjame vase, če ne dojema realnosti, tud če mu narišeš, ne.","@free__JJomega_tsneomega_tsmoršomega_tsnekomuomega_tsrečtomega_tsdaomega_tsjeomega_tszaničomega_ts,omega_tsčeomega_tsonomega_tsverjameomega_tsvaseomega_ts,omega_tsčeomega_tsneomega_tsdojemaomega_tsrealnostiomega_ts,omega_tstudomega_tsčeomega_tsmuomega_tsnarišešomega_ts,omega_tsneomega_ts.omega_ts"
To je bolezen.,Toomega_tsjeomega_tsbolezenomega_ts.omega_ts
"@hajdyXP @luka_vee twitter z več placa, chat.","@hajdyXPomega_ts@luka_veeomega_tstwitteromega_tszomega_tsvečomega_tsplacaomega_ts,omega_tschatomega_ts.omega_ts"
prostih wifijev skoraj ni več.,prostihomega_tswifijevomega_tsskorajomega_tsniomega_tsvečomega_ts.omega_ts
"pa tole si poglejta, ker pojasni deal : http://t.co/70jYYcrmCu","paomega_tstoleomega_tssiomega_tspoglejtaomega_ts,omega_tskeromega_tspojasniomega_tsdealomega_ts:omega_tshttp://t.co/70jYYcrmCuomega_ts"
"@Rok_Novak Ker lahko tako poskrbi,da npr.na trgu ni dovolj npr.čistilk in cena njih storitev potem ni tržna..","@Rok_Novakomega_tsKeromega_tslahkoomega_tstakoomega_tsposkrbiomega_ts,omega_tsdaomega_tsnpr.omega_tsnaomega_tstrguomega_tsniomega_tsdovoljomega_tsnpr.omega_tsčistilkomega_tsinomega_tscenaomega_tsnjihomega_tsstoritevomega_tspotemomega_tsniomega_tstržnaomega_ts..omega_ts"
"ok,TW ni za to..","okomega_ts,omega_tsTWomega_tsniomega_tszaomega_tstoomega_ts..omega_ts"
2/2,2/2omega_ts
"Za svojo si jo vzel, pa ti je tako ljuba.","Zaomega_tssvojoomega_tssiomega_tsjoomega_tsvzelomega_ts,omega_tspaomega_tstiomega_tsjeomega_tstakoomega_tsljubaomega_ts.omega_ts"
*****,*****omega_ts
"@petra_jansa @BlogSlovenija Človk (jani),ki ni sposoben nardit enega faksa ne bi smel sedet v pralamentu.","@petra_jansaomega_ts@BlogSlovenijaomega_tsČlovkomega_ts(omega_tsjaniomega_ts)omega_ts,omega_tskiomega_tsniomega_tssposobenomega_tsnarditomega_tsenegaomega_tsfaksaomega_tsneomega_tsbiomega_tssmelomega_tssedetomega_tsvomega_tspralamentuomega_ts.omega_ts"
FDV ni spodoben faks.,FDVomega_tsniomega_tsspodobenomega_tsfaksomega_ts.omega_ts
#naravoslovje,#naravoslovjeomega_ts
"meni je všeč tilen,alen,aljaž,andraž,rok,nik","meniomega_tsjeomega_tsvšečomega_tstilenomega_ts,omega_tsalenomega_ts,omega_tsaljažomega_ts,omega_tsandražomega_ts,omega_tsrokomega_ts,omega_tsnikomega_ts"
Good morning World!,Goodomega_tsmorningomega_tsWorldomega_ts!omega_ts
Ce se nam vlak do LJ ne pokvari v KR smo ze kar zmagal tale ponedeljek.,Ceomega_tsseomega_tsnamomega_tsvlakomega_tsdoomega_tsLJomega_tsneomega_tspokvariomega_tsvomega_tsKRomega_tssmoomega_tszeomega_tskaromega_tszmagalomega_tstaleomega_tsponedeljekomega_ts.omega_ts
:D #slovenskezeleznice #mondaying,:Domega_ts#slovenskezelezniceomega_ts#mondayingomega_ts
Uživaj na prostosti.,Uživajomega_tsnaomega_tsprostostiomega_ts.omega_ts
"Ko se vrneš nazaj pa neč dohtarju ne povej,ko te ne bo več ven spustil,he,he.","Koomega_tsseomega_tsvrnešomega_tsnazajomega_tspaomega_tsnečomega_tsdohtarjuomega_tsneomega_tspovejomega_ts,omega_tskoomega_tsteomega_tsneomega_tsboomega_tsvečomega_tsvenomega_tsspustilomega_ts,omega_tsheomega_ts,omega_tsheomega_ts.omega_ts"
5.,5.omega_ts
"Meh, sej to se isti folk navdušuje nad Peinkiherjem kot se tud na Kunstljem.","Mehomega_ts,omega_tssejomega_tstoomega_tsseomega_tsistiomega_tsfolkomega_tsnavdušujeomega_tsnadomega_tsPeinkiherjemomega_tskotomega_tsseomega_tstudomega_tsnaomega_tsKunstljemomega_ts.omega_ts"
"Če ma kej čez Janšo, se tud džankijem da prostor v medijih.","Čeomega_tsmaomega_tskejomega_tsčezomega_tsJanšoomega_ts,omega_tsseomega_tstudomega_tsdžankijemomega_tsdaomega_tsprostoromega_tsvomega_tsmedijihomega_ts.omega_ts"
"Komsi, pravo ličko šljivovico moraš probat.","Komsiomega_ts,omega_tspravoomega_tsličkoomega_tsšljivovicoomega_tsmorašomega_tsprobatomega_ts.omega_ts"
rtvslo pol dneva za tabo :),rtvsloomega_tspolomega_tsdnevaomega_tszaomega_tstaboomega_ts:)omega_ts
Kaj a v četrtek pa štopamo za neki k bo kao od TopGeara?,Kajomega_tsaomega_tsvomega_tsčetrtekomega_tspaomega_tsštopamoomega_tszaomega_tsnekiomega_tskomega_tsboomega_tskaoomega_tsodomega_tsTopGearaomega_ts?omega_ts
"Čeprov, Clarkson pa Hamond ziher naustavozila, tko da brez veze.","Čeprovomega_ts,omega_tsClarksonomega_tspaomega_tsHamondomega_tsziheromega_tsnaustaomega_tsvozilaomega_ts,omega_tstkoomega_tsdaomega_tsbrezomega_tsvezeomega_ts.omega_ts"
Kaj ti bo ferari.,Kajomega_tstiomega_tsboomega_tsferariomega_ts.omega_ts
če mene prašaš bi mogli to bol strogo začet gledat in ne dovolit vsakemu migrantu v evropo !,čeomega_tsmeneomega_tsprašašomega_tsbiomega_tsmogliomega_tstoomega_tsbolomega_tsstrogoomega_tszačetomega_tsgledatomega_tsinomega_tsneomega_tsdovolitomega_tsvsakemuomega_tsmigrantuomega_tsvomega_tsevropoomega_ts!omega_ts
sej razumem da živijo v težkih pogojih ...,sejomega_tsrazumemomega_tsdaomega_tsživijoomega_tsvomega_tstežkihomega_tspogojihomega_ts...omega_ts
