Original,Tokenized
"den 28 april kl 4.32, sa jeg et syn min mor og far, de var døde la ude paa vejen og rabte om hjaelp i mit synspunkt la jeg paa hospitalet og skreg, men i mine venners syn la jeg ude paa vejen og rabte hjaelp til en 16 arig dreng paa scooter.","denomega_ts28omega_tsaprilomega_tsklomega_ts4.32omega_ts,omega_tssaomega_tsjegomega_tsetomega_tssynomega_tsminomega_tsmoromega_tsogomega_tsfaromega_ts,omega_tsdeomega_tsvaromega_tsdødeomega_tslaomega_tsudeomega_tspaaomega_tsvejenomega_tsogomega_tsrabteomega_tsomomega_tshjaelpomega_tsiomega_tsmitomega_tssynspunktomega_tslaomega_tsjegomega_tspaaomega_tshospitaletomega_tsogomega_tsskregomega_ts,omega_tsmenomega_tsiomega_tsmineomega_tsvennersomega_tssynomega_tslaomega_tsjegomega_tsudeomega_tspaaomega_tsvejenomega_tsogomega_tsrabteomega_tshjaelpomega_tstilomega_tsenomega_ts16omega_tsarigomega_tsdrengomega_tspaaomega_tsscooteromega_ts.omega_ts"
"ikke at bruge smileysdet er vildt svaert?
!",ikkeomega_tsatomega_tsbrugeomega_tssmileysomega_tsdetomega_tseromega_tsvildtomega_tssvaertomega_ts?omega_ts!omega_ts
gad vide hvor laenge jeg kan lade vaere med at bruge smileys?,gadomega_tsvideomega_tshvoromega_tslaengeomega_tsjegomega_tskanomega_tsladeomega_tsvaereomega_tsmedomega_tsatomega_tsbrugeomega_tssmileysomega_ts?omega_ts
"nej, det er umenneskeligt ikke at bruge smileys!!!","nejomega_ts,omega_tsdetomega_tseromega_tsumenneskeligtomega_tsikkeomega_tsatomega_tsbrugeomega_tssmileysomega_ts!omega_ts!omega_ts!omega_ts"
"jo, jeg ved da godt det var nogle.. geniale.. kommentarer, men nu er de altsa vaek!","joomega_ts,omega_tsjegomega_tsvedomega_tsdaomega_tsgodtomega_tsdetomega_tsvaromega_tsnogleomega_ts..omega_tsgenialeomega_ts..omega_tskommentareromega_ts,omega_tsmenomega_tsnuomega_tseromega_tsdeomega_tsaltsaomega_tsvaekomega_ts!omega_ts"
lolz.,lolzomega_ts.omega_ts
\- har det noqenlunde pa samme made?,\omega_ts-omega_tsharomega_tsdetomega_tsnoqenlundeomega_tspaomega_tssammeomega_tsmadeomega_ts?omega_ts
\- men for det meste er haevn med vold oq gøre det er sq lidt noqet pis men sadan er verden altsa?,\omega_ts-omega_tsmenomega_tsforomega_tsdetomega_tsmesteomega_tseromega_tshaevnomega_tsmedomega_tsvoldomega_tsoqomega_tsgøreomega_tsdetomega_tseromega_tssqomega_tslidtomega_tsnoqetomega_tspisomega_tsmenomega_tssadanomega_tseromega_tsverdenomega_tsaltsaomega_ts?omega_ts
\- har selv vaeret ude for det manqe gange?,\omega_ts-omega_tsharomega_tsselvomega_tsvaeretomega_tsudeomega_tsforomega_tsdetomega_tsmanqeomega_tsgangeomega_ts?omega_ts
pa alle muliqe forskelliqe mader?,paomega_tsalleomega_tsmuliqeomega_tsforskelliqeomega_tsmaderomega_ts?omega_ts
:/\- men det er sq første gang jeq har set en piqe skrive sadan hehe?,:/omega_ts\omega_ts-omega_tsmenomega_tsdetomega_tseromega_tssqomega_tsførsteomega_tsgangomega_tsjeqomega_tsharomega_tssetomega_tsenomega_tspiqeomega_tsskriveomega_tssadanomega_tsheheomega_ts?omega_ts
"undskyld men kan ikk se grunden til det :/..elsker diin tanke gang der d;;?
'",undskyldomega_tsmenomega_tskanomega_tsikkomega_tsseomega_tsgrundenomega_tstilomega_tsdetomega_ts:/omega_ts..omega_tselskeromega_tsdiinomega_tstankeomega_tsgangomega_tsderomega_tsdomega_ts;omega_ts;omega_ts?omega_ts'omega_ts
"nar du mener straffes, sa haevne sig igen (:?","naromega_tsduomega_tsmeneromega_tsstraffesomega_ts,omega_tssaomega_tshaevneomega_tssigomega_tsigenomega_ts(omega_ts:omega_ts?omega_ts"
ida jensen; du er bare wooow.,idaomega_tsjensenomega_ts;omega_tsduomega_tseromega_tsbareomega_tswooowomega_ts.omega_ts
"matilde sandgaard; du er sa aerlig, og skøn.","matildeomega_tssandgaardomega_ts;omega_tsduomega_tseromega_tssaomega_tsaerligomega_ts,omega_tsogomega_tsskønomega_ts.omega_ts"
hasseb hakimi; min bror.,hassebomega_tshakimiomega_ts;omega_tsminomega_tsbroromega_ts.omega_ts
louise mikkelsen; du sa søød.,louiseomega_tsmikkelsenomega_ts;omega_tsduomega_tssaomega_tssøødomega_ts.omega_ts
frida thomsen; du er skør men dejlig.,fridaomega_tsthomsenomega_ts;omega_tsduomega_tseromega_tsskøromega_tsmenomega_tsdejligomega_ts.omega_ts
maria engholm; jeg elsker dig.,mariaomega_tsengholmomega_ts;omega_tsjegomega_tselskeromega_tsdigomega_ts.omega_ts
isabell honore; du gudesmuk.,isabellomega_tshonoreomega_ts;omega_tsduomega_tsgudesmukomega_ts.omega_ts
anne-sofie grell; du bare super god at snakke med.,anne-sofieomega_tsgrellomega_ts;omega_tsduomega_tsbareomega_tssuperomega_tsgodomega_tsatomega_tssnakkeomega_tsmedomega_ts.omega_ts
mette thomsen; du er sa sød og dejlig.,metteomega_tsthomsenomega_ts;omega_tsduomega_tseromega_tssaomega_tssødomega_tsogomega_tsdejligomega_ts.omega_ts
jeg vil altid vaere dit fjollehovede.. altid!,jegomega_tsvilomega_tsaltidomega_tsvaereomega_tsditomega_tsfjollehovedeomega_ts..omega_tsaltidomega_ts!omega_ts
ah jeg elsker fandme ogsa dig min.,ahomega_tsjegomega_tselskeromega_tsfandmeomega_tsogsaomega_tsdigomega_tsminomega_ts.omega_ts
du er virkelig os fantastisk tøs<3sae meget i lige made minpige!,duomega_tseromega_tsvirkeligomega_tsosomega_tsfantastiskomega_tstøsomega_ts<3omega_tssaeomega_tsmegetomega_tsiomega_tsligeomega_tsmadeomega_tsminpigeomega_ts!omega_ts
da jegskulle sige farvel i fredags omg.,daomega_tsjegomega_tsskulleomega_tssigeomega_tsfarvelomega_tsiomega_tsfredagsomega_tsomgomega_ts.omega_ts
hahaa okey simone dig og de heste haha.<3\.,hahaaomega_tsokeyomega_tssimoneomega_tsdigomega_tsogomega_tsdeomega_tshesteomega_tshahaomega_ts.omega_ts<3omega_ts\omega_ts.omega_ts
org skat mange gange ilm.,orgomega_tsskatomega_tsmangeomega_tsgangeomega_tsilmomega_ts.omega_ts
_jeg savner dengang hvor alle var gode venner.,_jegomega_tssavneromega_tsdengangomega_tshvoromega_tsalleomega_tsvaromega_tsgodeomega_tsvenneromega_ts.omega_ts
"hvornar kan vi leve et liv uden problemer og taenke pa vores venner og, engang i mellem taenke pa hvordan det er de har det?","hvornaromega_tskanomega_tsviomega_tsleveomega_tsetomega_tslivomega_tsudenomega_tsproblemeromega_tsogomega_tstaenkeomega_tspaomega_tsvoresomega_tsvenneromega_tsogomega_ts,omega_tsengangomega_tsiomega_tsmellemomega_tstaenkeomega_tspaomega_tshvordanomega_tsdetomega_tseromega_tsdeomega_tsharomega_tsdetomega_ts?omega_ts"
isteden for kun os selv.,istedenomega_tsforomega_tsKUNomega_tsosomega_tsselvomega_ts.omega_ts
alt er forandret alle har forandret sig det er sgu maerkeliqeja det er sku rigtigt 3 bedste .,altomega_tseromega_tsforandretomega_tsalleomega_tsharomega_tsforandretomega_tssigomega_tsdetomega_tseromega_tssguomega_tsmaerkeliqeomega_tsJaomega_tsdetomega_tseromega_tsskuomega_tsrigtigtomega_ts3omega_tsbedsteomega_ts.omega_ts
hvadfuck er det for lorte rygter der blir startet?,hvadomega_tsfuckomega_tseromega_tsdetomega_tsforomega_tslorteomega_tsrygteromega_tsderomega_tsbliromega_tsstartetomega_ts?omega_ts
;s tag jer sammen maaayn.,;omega_tssomega_tstagomega_tsjeromega_tssammenomega_tsmaaaynomega_ts.omega_ts
du har fandme ret amela!.,duomega_tsharomega_tsfandmeomega_tsretomega_tsAmelaomega_ts!omega_ts.omega_ts
"-:o!<3.. det er fandme mange som har det sadanher fortiden, og hvorfor skal der vaere rygter,det gøre jo ikke en sejer af det ´shirt!.","-omega_ts:Oomega_ts!omega_ts<3omega_ts..omega_tsdetomega_tseromega_tsfandmeomega_tsmangeomega_tssomomega_tsharomega_tsdetomega_tssadanomega_tsheromega_tsfortidenomega_ts,omega_tsogomega_tshvorforomega_tsskalomega_tsderomega_tsvaereomega_tsrygteromega_ts,omega_tsdetomega_tsgøreomega_tsjoomega_tsikkeomega_tsenomega_tssejeromega_tsafomega_tsdetomega_ts´omega_tsshirtomega_ts!omega_ts.omega_ts"
jeg synes du har ret mattson.,jegomega_tssynesomega_tsduomega_tsharomega_tsretomega_tsmattsonomega_ts.omega_ts
"hej mattson,.","hejomega_tsmattsonomega_ts,omega_ts.omega_ts"
"oget fornuftigt,.
og som du siger., det er ikke laerende det gar ud over men os selv., skide godt mattson støtter dig sg.","ogomega_tssomomega_tsduomega_tssigeromega_ts.omega_ts,omega_tsdetomega_tseromega_tsikkeomega_tslaerendeomega_tsdetomega_tsgaromega_tsudomega_tsoveromega_tsmenomega_tsosomega_tsselvomega_ts.omega_ts,omega_tsskideomega_tsgodtomega_tsmattsonomega_tsstøtteromega_tsdigomega_tssgomega_ts.omega_ts,omega_tsmattsonomega_ts,omega_tsduomega_tsharomega_ts100omega_ts%omega_tsminomega_tsstemmeomega_ts,omega_tsogomega_tsjegomega_tsstøtteromega_ts100omega_ts%omega_tsdetomega_tsduomega_tsskriveromega_ts.omega_ts"
for det kommer jo ikke til at hjaelpe ?,foromega_tsdetomega_tskommeromega_tsjoomega_tsikkeomega_tstilomega_tsatomega_tshjaelpeomega_ts?omega_ts
jeg har ogsa set den sms.,jegomega_tsharomega_tsogsaomega_tssetomega_tsdenomega_tssmsomega_ts.omega_ts
det den mest latterlige gang braek jeg nogensinde har laest.,detomega_tsdenomega_tsmestomega_tslatterligeomega_tsgangomega_tsbraekomega_tsjegomega_tsnogensindeomega_tsharomega_tslaestomega_ts.omega_ts
"(:du har 100% ret (:du har ret - respekt, sa er det jo naesten som om dem som ikke gider at lade vaere - dvs dem som gerne vil trykke pa braendalarmen er jo naesten dem som skal lukkes ude fra elevflokken indtil de kan lade vaere - men det vil jo sikkert ikke virke - men jeg støtter dig =)du har ret (:du har ret mattsson vi støtter dig eller jeg gøre i hvertfald xdlog ind for at se","(omega_ts:omega_tsDuomega_tsharomega_ts100omega_ts%omega_tsretomega_ts(omega_ts:omega_tsDuomega_tsharomega_tsretomega_ts-omega_tsrespektomega_ts,omega_tssaomega_tseromega_tsdetomega_tsjoomega_tsnaestenomega_tssomomega_tsomomega_tsdemomega_tssomomega_tsikkeomega_tsgideromega_tsatomega_tsladeomega_tsvaereomega_ts-omega_tsdvsomega_tsdemomega_tssomomega_tsGERNEomega_tsvilomega_tstrykkeomega_tspaomega_tsbraendalarmenomega_tseromega_tsjoomega_tsnaestenomega_tsdemomega_tssomomega_tsskalomega_tslukkesomega_tsudeomega_tsfraomega_tselevflokkenomega_tsindtilomega_tsdeomega_tskanomega_tsladeomega_tsvaereomega_ts-omega_tsmenomega_tsdetomega_tsvilomega_tsjoomega_tssikkertomega_tsikkeomega_tsvirkeomega_ts-omega_tsmenomega_tsjegomega_tsstøtteromega_tsdigomega_ts=omega_ts)omega_tsduomega_tsharomega_tsretomega_ts(omega_ts:omega_tsduomega_tsharomega_tsretomega_tsmattssonomega_tsviomega_tsstøtteromega_tsdigomega_tselleromega_tsjegomega_tsgøreomega_tsiomega_tshvertfaldomega_tsXDomega_tsLogomega_tsindomega_tsforomega_tsatomega_tsseomega_ts"
"bby<3 I gr, 23:21 skrev  MiasXkatrine P12 Kom Da Til VEJLE det er den fedeste by pa hele jorden.. bby...  helsingør er den sygete by kom til 3000  bor lige ved siden af  .","bbyomega_ts<3omega_tsIomega_tsgromega_ts,omega_ts23:21omega_tsskrevomega_tsMiasXkatrineomega_tsP12omega_tsKomomega_tsDaomega_tsTilomega_tsVEJLEomega_tsdetomega_tseromega_tsdenomega_tsfedesteomega_tsbyomega_tspaomega_tsheleomega_tsjordenomega_ts..omega_tsbbyomega_ts...omega_tshelsingøromega_tseromega_tsdenomega_tssygeteomega_tsbyomega_tskomomega_tstilomega_ts3000omega_tsboromega_tsligeomega_tsvedomega_tssidenomega_tsafomega_ts.omega_ts"
hvorfor er det altid KBH!?,hvorforomega_tseromega_tsdetomega_tsaltidomega_tsKBHomega_ts!omega_ts?omega_ts
.. For min skyld ma du qerne bli vaek Gad man bruqe sin tid pa a høre HANS musik ?,..omega_tsForomega_tsminomega_tsskyldomega_tsmaomega_tsduomega_tsqerneomega_tsbliomega_tsvaekomega_tsGadomega_tsmanomega_tsbruqeomega_tssinomega_tstidomega_tspaomega_tsaomega_tshøreomega_tsHANSomega_tsmusikomega_ts?omega_ts
- Hva har du røqet man ?,-omega_tsHvaomega_tsharomega_tsduomega_tsrøqetomega_tsmanomega_ts?omega_ts
okah.,okahomega_ts.omega_ts
hihhi!,hihhiomega_ts!omega_ts
& laengere gaturer naeae nej!,&omega_tslaengereomega_tsgatureromega_tsnaeaeomega_tsnejomega_ts!omega_ts
jeg bor for langt vaek.,jegomega_tsboromega_tsforomega_tslangtomega_tsvaekomega_ts.omega_ts
og jeg er staret i skole igen for laengst pa det tidspunkt.,ogomega_tsjegomega_tseromega_tsstaretomega_tsiomega_tsskoleomega_tsigenomega_tsforomega_tslaengstomega_tspaomega_tsdetomega_tstidspunktomega_ts.omega_ts
hold kaeft du er racist man dig :chrixthea!,holdomega_tskaeftomega_tsduomega_tseromega_tsracistomega_tsmanomega_tsdigomega_ts:omega_tschrixtheaomega_ts!omega_ts
"hehgad da godt smukke, men kan desvaerre ikk :-/..men ellers go løbetur ..jeg har ikke nogen spand jeg kan kaste op ihaaj søren kan du skaffe christiane schaumburg-muller nr vel  sa er du for coolomfg!","hehomega_tsGadomega_tsdaomega_tsgodtomega_tssmukkeomega_ts,omega_tsmenomega_tskanomega_tsdesvaerreomega_tsikkomega_ts:-/omega_ts..omega_tsmenomega_tsellersomega_tsgoomega_tsløbeturomega_ts..omega_tsjegomega_tsharomega_tsikkeomega_tsnogenomega_tsspandomega_tsjegomega_tskanomega_tskasteomega_tsopomega_tsiomega_tshaajomega_tssørenomega_tskanomega_tsduomega_tsskaffeomega_tsChristianeomega_tsSchaumburg-mulleromega_tsnromega_tsvelomega_tssaomega_tseromega_tsduomega_tsforomega_tscoolomega_tsOMFGomega_ts!omega_ts"
man skal fanme da ikk støtte de dumme negere man!,manomega_tsskalomega_tsfanmeomega_tsdaomega_tsikkomega_tsstøtteomega_tsdeomega_tsdummeomega_tsnegereomega_tsmanomega_ts!omega_ts
hvad fanden taenker i pa !,hvadomega_tsfandenomega_tstaenkeromega_tsiomega_tspaomega_ts!omega_ts
kan desvaerer ikk ma ikk for det er for langt a køre na mann ikk bor pa sjaelland men ville sa meget gerne  Ledige stillinger!,kanomega_tsdesvaereromega_tsikkomega_tsmaomega_tsikkomega_tsforomega_tsdetomega_tseromega_tsforomega_tslangtomega_tsaomega_tskøreomega_tsnaomega_tsmannomega_tsikkomega_tsboromega_tspaomega_tssjaellandomega_tsmenomega_tsvilleomega_tssaomega_tsmegetomega_tsgerneomega_tsLedigeomega_tsstillingeromega_ts!omega_ts
*' det hedder at kneppe uanset hvadejj?,*omega_ts'omega_tsdetomega_tshedderomega_tsatomega_tskneppeomega_tsuansetomega_tshvadomega_tsejjomega_ts?omega_ts
(glo ondt pa penge)  Det er saeriøst for niiice !,(omega_tsgloomega_tsondtomega_tspaomega_tspengeomega_ts)omega_tsDetomega_tseromega_tssaeriøstomega_tsforomega_tsniiiceomega_ts!omega_ts
: DDDDD  nice... elsker paramore og elsker the dreams <33  Ejj hvor er det fedt!!,:omega_tsDDDDDomega_tsniceomega_ts...omega_tselskeromega_tsparamoreomega_tsogomega_tselskeromega_tstheomega_tsdreamsomega_ts<3omega_ts3omega_tsEjjomega_tshvoromega_tseromega_tsdetomega_tsfedtomega_ts!omega_ts!omega_ts
i er sku' kommet langt!!!,iomega_tseromega_tsskuomega_ts'omega_tskommetomega_tslangtomega_ts!omega_ts!omega_ts!omega_ts
kan det vaere bedre ?<33  Ledige stillinger!,kanomega_tsdetomega_tsvaereomega_tsbedreomega_ts?omega_ts<3omega_ts3omega_tsLedigeomega_tsstillingeromega_ts!omega_ts
"_: Vi har endnu ikke lavet andre end ""22"" som du finder her i bloggen _ Hvordan startede i osv. ?","_omega_ts:omega_tsViomega_tsharomega_tsendnuomega_tsikkeomega_tslavetomega_tsandreomega_tsendomega_ts""omega_ts22omega_ts""omega_tssomomega_tsduomega_tsfinderomega_tsheromega_tsiomega_tsbloggenomega_ts_omega_tsHvordanomega_tsstartedeomega_tsiomega_tsosvomega_ts.omega_ts?omega_ts"
"_: L aes vores biografi forrest pa siden, den besvarer mange spørgsmal og er iøvrigt cool laesning _ Bor i her i Dk ?","_omega_ts:omega_tsLomega_tsaesomega_tsvoresomega_tsbiografiomega_tsforrestomega_tspaomega_tssidenomega_ts,omega_tsdenomega_tsbesvareromega_tsmangeomega_tsspørgsmalomega_tsogomega_tseromega_tsiøvrigtomega_tscoolomega_tslaesningomega_ts_omega_tsBoromega_tsiomega_tsheromega_tsiomega_tsDkomega_ts?omega_ts"
"i;» 4 - okay paen, men ikke min stil.","iomega_ts;omega_ts»omega_ts4omega_ts-omega_tsokayomega_tspaenomega_ts,omega_tsmenomega_tsikkeomega_tsminomega_tsstilomega_ts.omega_ts"
» 5 - alt for fraek?,»omega_ts5omega_ts-omega_tsaltomega_tsforomega_tsfraekomega_ts?omega_ts
;i» 6 - uff han ma gerne tag pa mig!,;omega_tsiomega_ts»omega_ts6omega_ts-omega_tsuffomega_tshanomega_tsmaomega_tsgerneomega_tstagomega_tspaomega_tsmigomega_ts!omega_ts
pls.... ?,plsomega_ts....omega_ts?omega_ts
sa alt der her sjov jeg er igang med er overstaet...,saomega_tsaltomega_tsderomega_tsheromega_tssjovomega_tsjegomega_tseromega_tsigangomega_tsmedomega_tseromega_tsoverstaetomega_ts...omega_ts
jeg vil oqs gerne have dig tilbage !,jegomega_tsvilomega_tsoqsomega_tsgerneomega_tshaveomega_tsdigomega_tstilbageomega_ts!omega_ts
<3 du ma squ ikk blive smidt ud!!,<3omega_tsduomega_tsmaomega_tssquomega_tsikkomega_tsbliveomega_tssmidtomega_tsudomega_ts!omega_ts!omega_ts
ejj men jeg vil helt klart hjaelpe dig med at blive!,ejjomega_tsmenomega_tsjegomega_tsvilomega_tsheltomega_tsklartomega_tshjaelpeomega_tsdigomega_tsmedomega_tsatomega_tsbliveomega_ts!omega_ts
<3.-'hun skal squ ikk smide nogen hjem begrund af rygter!,<3omega_ts.omega_ts-omega_ts'omega_tshunomega_tsskalomega_tssquomega_tsikkomega_tssmideomega_tsnogenomega_tshjemomega_tsbegrundomega_tsafomega_tsrygteromega_ts!omega_ts
(; heh!,(omega_ts;omega_tshehomega_ts!omega_ts
ihh' bedstevenner  er mega'glad fof at kende dig  <3,ihhomega_ts'omega_tsBedstevenneromega_tseromega_tsmega'Gladomega_tsfofomega_tsatomega_tskendeomega_tsdigomega_ts<3omega_ts
"psykobilled alligevel, vi ser jo psykotiske ud !","psykobilledomega_tsalligevelomega_ts,omega_tsviomega_tsseromega_tsjoomega_tspsykotiskeomega_tsudomega_ts!omega_ts"
vi faldte i søvn ;p,viomega_tsfaldteomega_tsiomega_tssøvnomega_ts;omega_tspomega_ts
"02-05-2006 12:20 skrev  wannabeyours p14virkelig smukt skrevet , vildt du har kunne stte ord p de flelser  .","02-05-omega_ts2006omega_ts12:20omega_tsskrevomega_tsWannaBeYoursomega_tsP14omega_tsVirkeligomega_tsSmuktomega_tsSkrevetomega_ts,omega_tsvildtomega_tsduomega_tsharomega_tskunneomega_tsstteomega_tsordomega_tspomega_tsdeomega_tsflelseromega_ts.omega_ts"
25-04-2006 13:48 skrev  kimhong p16kender alt til det..det er dejligt med krligheden og det gre s afsindig ondt at blive sret ..forresten super smukt skrevetmeget forfrdeligt og psykologisk nedbrydende :/du skriver det som om det var mig selv!,25-04-omega_ts2006omega_ts13:48omega_tsskrevomega_tsKimHongomega_tsP16omega_tskenderomega_tsaltomega_tstilomega_tsdetomega_ts..omega_tsdetomega_tseromega_tsdejligtomega_tsmedomega_tskrlighedenomega_tsogomega_tsdetomega_tsgreomega_tssomega_tsafsindigomega_tsondtomega_tsatomega_tsbliveomega_tssretomega_ts..omega_tsforrestenomega_tssuperomega_tssmuktomega_tsskrevetomega_tsMegetomega_tsforfrdeligtomega_tsogomega_tspsykologiskomega_tsnedbrydendeomega_ts:/omega_tsDuomega_tsskriveromega_tsdetomega_tssomomega_tsomomega_tsdetomega_tsvaromega_tsmigomega_tsselvomega_ts!omega_ts
"har oplevet , fuldstndig det samme /;har du nogensinde fet dit hjerte knust s meget at du fler du skal kaste op\- det er den flelse jeg kender aller bedst, fantastisk skrevet.","haromega_tsoplevetomega_ts,omega_tsfuldstndigomega_tsdetomega_tssammeomega_ts/omega_ts;omega_tsHaromega_tsduomega_tsnogensindeomega_tsfetomega_tsditomega_tshjerteomega_tsknustomega_tssomega_tsmegetomega_tsatomega_tsduomega_tsfleromega_tsduomega_tsskalomega_tskasteomega_tsopomega_ts\omega_ts-omega_tsdetomega_tseromega_tsdenomega_tsflelseomega_tsjegomega_tskenderomega_tsalleromega_tsbedstomega_ts,omega_tsfantastiskomega_tsskrevetomega_ts.omega_ts"
det hele !,"detomega_tseromega_tssomega_tspisseomega_tsdepriomega_tsmaaaaaanomega_tsNejomega_ts,omega_tsmenomega_tsdrengeomega_tssigeromega_tsdetomega_tsskeromega_tsnomega_tsdeomega_tseromega_tssammenomega_tsmedomega_tsmiqomega_ts,omega_tsaltsomega_tsmineomega_tseksomega_tskresteromega_ts!omega_ts"
til den strste stjerne af dem alle.,tilomega_tsdenomega_tsstrsteomega_tsstjerneomega_tsafomega_tsdemomega_tsalleomega_ts.omega_ts
eller?slaget mod srverne?.,elleromega_ts?omega_tsslagetomega_tsmodomega_tssrverneomega_ts?omega_ts.omega_ts
nok fordi jeg nrmest forstr hvordan du har det.,nokomega_tsfordiomega_tsjegomega_tsnrmestomega_tsforstromega_tshvordanomega_tsduomega_tsharomega_tsdetomega_ts.omega_ts
"29-10-2006 18:10 skrev  n-u-m-s-e-f-i-s-k p15virkelig virkelig virkelig rrende..13-06-2006 21:04 skrev  little-joeh p14det er virkeliq smukt skrevet, det qr ondt a miste .","29-10-omega_ts2006omega_ts18:10omega_tsskrevomega_tsn-u-m-s-e-f-i-s-komega_tsP15omega_tsvirkeligomega_tsvirkeligomega_tsvirkeligomega_tsrrendeomega_ts..omega_ts13-06-omega_ts2006omega_ts21:04omega_tsskrevomega_tsLittle-Joehomega_tsP14omega_tsdetomega_tseromega_tsvirkeliqomega_tssmuktomega_tsskrevetomega_ts,omega_tsdetomega_tsqromega_tsondtomega_tsaomega_tsmisteomega_ts.omega_ts"
